Tipo_aviso;Estado;Prioridad;Incidente;Estructura;Creacion;Inicio;Cierre;Serie;Norte;Este;Depto;Municipio;Vereda;Cia
VEGETACIÓN;INIC GERE PRER;Dos años;2421205;19878310;2018-01-24 00:00:00;2018-01-25 00:00:00;2018-05-19 00:00:00;13774;1042674,985;817918,1298;RISARALDA;MARSELLA;EL KIOSKO;Azul
VEGETACIÓN;CTER ENPT GERE;Mes;1636325;19878310;2010-05-19 00:00:00;2010-05-19 00:00:00;2011-03-10 00:00:00;13774;1042674,985;817918,1298;RISARALDA;MARSELLA;EL KIOSKO;Azul
VEGETACIÓN;CPRO GERE;Semestre;1748846;19878310;2007-09-21 00:00:00;2007-09-21 00:00:00;2008-09-24 00:00:00;13774;1042674,985;817918,1298;RISARALDA;MARSELLA;EL KIOSKO;Azul
VEGETACIÓN;INIC GERE;Año;1125300;19878310;2012-04-12 00:00:00;2012-04-18 00:00:00;2012-11-10 00:00:00;13774;1042674,985;817918,1298;RISARALDA;MARSELLA;EL KIOSKO;Azul
VEGETACIÓN;INIC COND GERE;Mes;2531001;19878310;2015-06-17 00:00:00;2015-06-17 00:00:00;2015-08-08 00:00:00;13774;1042674,985;817918,1298;RISARALDA;MARSELLA;EL KIOSKO;Azul
VEGETACIÓN;CTER COND GERE;Año;1637442;19880637;2010-03-31 00:00:00;2010-05-02 00:00:00;2015-11-28 00:00:00;7480;1022456,13;786339,8391;VALLE DEL CAUCA;ANSERMANUEVO;LA PUERTA;Azul
INVASIÓN/EXPLANACION;INIC GERE;Dos años;2471216;19880637;2016-11-05 00:00:00;2016-11-05 00:00:00;2018-04-04 00:00:00;7480;1022456,13;786339,8391;VALLE DEL CAUCA;ANSERMANUEVO;LA PUERTA;Azul
INVASIÓN/EXPLANACION;INIC GERE;Dos años;2471216;19880637;2016-11-05 00:00:00;2017-07-28 00:00:00;2018-04-04 00:00:00;7480;1022456,13;786339,8391;VALLE DEL CAUCA;ANSERMANUEVO;LA PUERTA;Azul
INVASIÓN/EXPLANACION ;INIC GERE;Año;1016488;19880637;2017-05-12 00:00:00;2017-05-13 00:00:00;2018-12-15 00:00:00;7480;1022456,13;786339,8391;VALLE DEL CAUCA;ANSERMANUEVO;LA PUERTA;Azul
INVASIÓN/EXPLANACION ;INIC GERE;Año;1016488;19880637;2017-05-12 00:00:00;2017-05-12 00:00:00;2018-12-15 00:00:00;7480;1022456,13;786339,8391;VALLE DEL CAUCA;ANSERMANUEVO;LA PUERTA;Azul
INVASIÓN/EXPLANACION ;CTER GERE;Tres años;2530599;19893798;2015-06-20 00:00:00;2015-06-20 00:00:00;2016-11-06 00:00:00;1364;1096653,126;832443,1074;MARMATO;CALDAS;LLANO GRANDE;Azul
CONSTRUCCIONES;INIC GEAM;Seis años;2526725;19893798;2015-07-16 00:00:00;2015-07-16 00:00:00;2016-01-14 00:00:00;1364;1096653,126;832443,1074;MARMATO;CALDAS;LLANO GRANDE;Azul
CONSTRUCCIONES;INIC GEAM;Trimestre;2370476;19893798;2019-03-29 00:00:00;2019-03-29 00:00:00;1970-01-01 00:00:00;1364;1096653,126;832443,1074;MARMATO;CALDAS;LLANO GRANDE;Azul
INVASIÓN/EXPLANACION ;INIC GERE;Semestre;2564875;19893798;2014-09-20 00:00:00;2014-09-20 00:00:00;2015-04-02 00:00:00;1364;1096653,126;832443,1074;MARMATO;CALDAS;LLANO GRANDE;Azul
INVASIÓN/EXPLANACION ;CTER GEAM;Semestre;2995586;19893798;2013-08-09 00:00:00;2013-08-09 00:00:00;2014-02-13 00:00:00;1364;1096653,126;832443,1074;MARMATO;CALDAS;LLANO GRANDE;Azul
VEGETACIÓN;CTER COND TAMB CO19 GERE PRER;Seis años;1065736;19880405;2013-01-05 00:00:00;2013-01-05 00:00:00;2018-05-23 00:00:00;7710;915671,2118;738371,4952;VALLE DEL CAUCA;YOTOCO;EL DORADO;Azul
PERMISO INGRESO;INIC GERE;Trimestre;1027743;19895362;2017-02-15 00:00:00;2017-02-15 00:00:00;2017-03-08 00:00:00;24269;765181;771757,0626;CAUCA;INZA;CORDOBA;Azul
PERMISO INGRESO;CTER GERE;Trimestre;2497435;19894218;2016-03-06 00:00:00;2016-03-06 00:00:00;2016-09-02 00:00:00;11524;1048281,068;819472,0553;CALDAS;PALESTINA;LA PLATA;Azul
VEGETACIÓN;INIC AMPO GERE;Dos años;1025941;19894022;2017-03-03 00:00:00;2017-05-26 00:00:00;2019-04-13 00:00:00;17494;1052524,259;816128,3049;CALDAS;RISARALDA;MONTECRISTO;Azul
VEGETACIÓN;INIC AMPO GERE;Dos años;1025941;19894022;2017-03-03 00:00:00;2017-03-03 00:00:00;2019-04-13 00:00:00;17494;1052524,259;816128,3049;CALDAS;RISARALDA;MONTECRISTO;Azul
INVASIÓN/EXPLANACION;INIC GERE;Trimestre;1033176;19894192;2016-12-15 00:00:00;2016-12-15 00:00:00;2017-04-13 00:00:00;11534;1048864,6;832857,3352;CALDAS;MANIZALES;LA TRINIDAD;Azul
