Tipo_aviso;Estado;Prioridad;Incidente;Estructura;Creacion;Inicio;Cierre
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404638;19892004;2018-06-16 00:00:00;2018-06-17 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404638;19892004;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404637;19892004;2018-06-16 00:00:00;2018-06-17 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404637;19892004;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404636;19892004;2018-06-16 00:00:00;2018-07-06 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404636;19892004;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2404643;19892003;2018-06-16 00:00:00;2018-07-07 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2404643;19892003;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2404715;19892002;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2404715;19892002;2018-06-16 00:00:00;2018-09-14 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2404645;19892002;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2404645;19892002;2018-06-16 00:00:00;2018-07-07 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2404644;19892002;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2404644;19892002;2018-06-16 00:00:00;2018-07-07 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2404720;19891998;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2404720;19891998;2018-06-16 00:00:00;2018-08-09 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2404642;19891998;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT GEAM TAMB;Dos años;2404642;19891998;2018-06-16 00:00:00;2018-06-23 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404641;19891983;2018-06-16 00:00:00;2018-07-22 00:00:00;1970-01-01 00:00:00
VEGETACIÓN;INIC ENPT TAMB GERE;Dos años;2404641;19891983;2018-06-16 00:00:00;2018-06-16 00:00:00;1970-01-01 00:00:00
