Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,12.500000,13.120000,11.720000,11.960000,11.654528,560000
2021-05-03,11.740000,12.400000,11.170000,12.240000,11.927376,636900
2021-05-10,12.750000,18.219999,12.620000,16.430000,16.010363,5052000
2021-05-17,16.959999,20.410000,15.910000,18.650000,18.173656,5314100
2021-05-24,19.010000,22.280001,18.400000,21.990000,21.428350,5593500
2021-05-31,22.360001,24.010000,18.600000,19.969999,19.459940,4711700
2021-06-07,20.020000,22.870001,19.410000,22.709999,22.129959,2709900
2021-06-14,22.750000,22.780001,18.020000,18.969999,18.485481,3681800
2021-06-21,18.889999,22.770000,18.650000,21.620001,21.067799,2140000
2021-06-28,22.150000,22.250000,20.299999,20.990000,20.453888,1639200
2021-07-05,20.799999,20.850000,18.330000,19.820000,19.339756,862200
2021-07-12,19.700001,19.990000,18.420000,18.520000,18.071259,862900
2021-07-19,18.059999,19.040001,17.129999,18.370001,17.924894,1132600
2021-07-26,18.370001,19.930000,18.030001,19.290001,18.822601,702500
2021-08-02,19.309999,22.600000,18.490000,22.549999,22.003609,1323000
2021-08-09,22.740000,26.000000,21.500000,22.430000,21.886515,2594000
2021-08-16,22.490000,22.719999,20.500000,21.820000,21.291298,867200
2021-08-23,22.000000,23.850000,22.000000,23.139999,22.579313,1414000
2021-08-30,23.440001,24.730000,21.100000,21.969999,21.437662,1495800
2021-09-06,21.980000,23.379999,21.620001,21.770000,21.242508,955200
2021-09-13,22.100000,22.889999,20.790001,22.070000,21.535236,885000
2021-09-20,21.360001,22.850000,20.100000,22.030001,21.496210,1209800
2021-09-27,22.219999,22.750000,21.129999,22.490000,21.945063,935100
2021-10-04,22.500000,27.000000,22.000000,24.459999,23.898092,2083700
2021-10-11,24.500000,27.799999,24.170000,26.580000,25.969393,1941200
2021-10-18,26.660000,27.940001,25.440001,27.330000,26.702166,995600
2021-10-25,27.480000,29.250000,27.120001,28.879999,28.216553,1047500
2021-11-01,29.370001,30.870001,28.010000,29.549999,28.871164,1974700
2021-11-08,31.420000,34.189999,29.600000,32.220001,31.479830,1964500
2021-11-15,34.320000,34.500000,30.500000,32.169998,31.430971,1629100
2021-11-22,31.990000,34.900002,29.600000,30.770000,30.063139,1413600
2021-11-29,32.790001,33.000000,29.760000,31.770000,31.040165,2189700
2021-12-06,31.900000,34.080002,18.100000,18.670000,18.241108,16450100
2021-12-13,18.809999,25.480000,18.799999,24.209999,23.653833,6386100
2021-12-20,23.389999,27.870001,22.520000,27.260000,26.633772,1673000
2021-12-27,27.330000,28.600000,25.299999,26.190001,25.588352,1993400
2022-01-03,26.650000,27.580000,22.740000,23.090000,22.615038,2203800
2022-01-10,22.940001,23.840000,21.670000,22.240000,21.782520,1650800
2022-01-17,21.900000,22.000000,19.139999,19.330000,18.932381,1661200
2022-01-24,18.610001,21.930000,18.040001,19.730000,19.324152,1514200
2022-01-31,19.500000,21.590000,19.360001,20.290001,19.872633,948000
2022-02-07,20.309999,21.930000,20.000000,20.670000,20.244816,987100
2022-02-14,20.600000,22.700001,19.709999,20.340000,19.921606,744800
2022-02-21,20.129999,20.590000,17.000000,20.490000,20.068521,1455200
2022-02-28,20.120001,23.180000,19.750000,21.820000,21.371162,2281700
2022-03-07,21.930000,24.400000,19.639999,23.920000,23.427965,1590400
2022-03-14,24.190001,26.049999,22.820000,25.879999,25.347649,1098600
2022-03-21,26.139999,27.080000,25.160000,26.209999,25.670860,1432700
2022-03-28,26.379999,28.520000,24.730000,25.690001,25.161558,1502800
2022-04-04,25.750000,26.309999,22.570000,22.600000,22.185699,801400
2022-04-11,22.410000,24.190001,22.110001,23.469999,23.039747,614500
2022-04-18,23.270000,25.820000,21.840000,22.010000,21.606512,741300
2022-04-25,21.059999,24.469999,20.850000,22.330000,21.920649,885000
2022-05-02,22.139999,24.580000,22.010000,22.410000,21.999182,1361900
2022-05-09,22.160000,22.280001,18.160000,20.430000,20.055477,1046300
2022-05-16,20.370001,22.100000,19.790001,20.160000,19.790426,706100
2022-05-23,20.350000,22.330000,18.740000,22.080000,21.675230,992000
2022-05-30,21.900000,22.459999,20.950001,21.840000,21.439629,850300
2022-06-06,22.100000,22.520000,19.090000,19.200001,18.848028,573500
2022-06-13,18.570000,19.370001,16.790001,17.420000,17.100658,1217500
2022-06-20,17.620001,18.379999,16.049999,17.520000,17.198826,1237500
2022-06-27,17.549999,18.950001,16.469999,17.549999,17.228273,874900
